Feature	Gain	Cover	Frequency
ctrx_quarter	0.0786781471059191	0.0340191076552784	0.038474870017331
mpasivos_margen	0.0643206559345354	0.0356176252779353	0.0336221837088388
mrentabilidad_annual	0.038167960633674	0.0378721620901151	0.0398613518197574
mcuentas_saldo	0.0369299460681703	0.0453032770341129	0.0427498555748123
mcaja_ahorro	0.0365885556182751	0.0226041148143294	0.030155979202773
mtarjeta_visa_consumo	0.0337294886933038	0.014215658742293	0.013633737723859
Visa_msaldopesos	0.0330548331266188	0.00660497596142419	0.0113229347198151
cpayroll_trx	0.032465305984972	0.0043612961489949	0.00196418255343732
mpayroll	0.030724665272568	0.0084290026926946	0.00381282495667244
Visa_fechaalta	0.0294318024552797	0.0331788410335127	0.0387059503177354
numero_de_cliente	0.0280610967878778	0.0472043943871503	0.0420566146735991
cliente_antiguedad	0.0265951296348565	0.0385950030244001	0.0368573079145003
Master_fechaalta	0.0265103552628645	0.0379925918578074	0.0347775852108608
chomebanking_trx	0.0263070407242923	0.0249970276001414	0.0303870595031774
mactivos_margen	0.0246997229083775	0.026567122816008	0.0266897746967071
Visa_Fvencimiento	0.024196904489384	0.0326349290401665	0.0313113807047949
cliente_edad	0.0210828476879264	0.0347201965101723	0.0316580011554015
Master_Fvencimiento	0.0201021772454328	0.0244147268465706	0.0280762564991334
mcuenta_corriente	0.0199698778892135	0.049112315347202	0.0303870595031774
mrentabilidad	0.0195047350085583	0.0235126777188202	0.0249566724436742
mprestamos_personales	0.0181917062515691	0.0160115994391348	0.00912767186597343
mcomisiones_otras	0.0173348264708505	0.018693392617178	0.020681686886193
mcomisiones	0.0160672444316267	0.0164230251485031	0.0199884459849798
Visa_mpagospesos	0.0156104021296196	0.0178616622374219	0.0216060080878105
Visa_mpagominimo	0.0148529803498789	0.0111040070725695	0.0164067013287117
mcaja_ahorro_dolares	0.0146233770242958	0.0161790853731269	0.0177931831311381
Visa_mconsumospesos	0.0142977219990846	0.0117886115661899	0.0184864240323512
Master_mfinanciacion_limite	0.0141155183802714	0.0110648080569076	0.0177931831311381
mtransferencias_recibidas	0.0136777145137205	0.0166956285033062	0.0191796649335644
Visa_mfinanciacion_limite	0.0129795598848893	0.0147496953508311	0.0168688619295205
mtransferencias_emitidas	0.0109884034422071	0.012645675650547	0.0139803581744656
mcomisiones_mantenimiento	0.00962333908608898	0.00608158268214271	0.00612362796071635
ccomisiones_otras	0.00920874757380949	0.00838117011974862	0.00797227036395147
Visa_msaldototal	0.00897878196094967	0.0121511998166259	0.0127094165222415
Visa_mlimitecompra	0.00804187911106735	0.0120128449984881	0.0112073945696129
mtarjeta_visa_debitos_automaticos	0.00760118187099143	0.0103849656650874	0.0101675332177932
Master_mpagospesos	0.00651662960538346	0.00872309156765876	0.0072790294627383
mcuenta_debitos_automaticos	0.00646242513725975	0.00629100726832765	0.0072790294627383
Visa_cconsumos	0.00633273082818935	0.00274572508226372	0.00600808781051415
ctarjeta_visa_trx2	0.00626683582567384	0.00409486173637262	0.00693240901213172
cproductos	0.00626167664917782	0.00447229056616358	0.00554592720970537
Master_mlimitecompra	0.00618987688696184	0.0104384150218092	0.0117850953206239
Visa_mconsumototal	0.00612295872825593	0.00608566569257109	0.00843443096476026
ctarjeta_visa_trx	0.0060852753334771	0.00411619282142412	0.0049682264586944
