Feature	Gain	Cover	Frequency
mpasivos_margen	0.122175730851041	0.0255983876263419	0.0276777251184834
cpayroll_trx	0.0880538551944303	0.021460345869354	0.00568720379146919
ctarjeta_visa_trx	0.0685769905086164	0.0183095433129222	0.0214218009478673
ctrx_quarter	0.0554606036183539	0.0209234228820286	0.0212322274881517
mpayroll	0.0445860070781088	0.028957878697889	0.0130805687203792
Visa_msaldototal	0.0392850979380908	0.0123792289829335	0.0151658767772512
mcaja_ahorro	0.0358945871566914	0.0149891358238888	0.0178199052132701
mcuentas_saldo	0.0326101247717984	0.0297733933105617	0.0307109004739336
mtarjeta_visa_consumo	0.0283849909671288	0.0142082119047734	0.016303317535545
mactivos_margen	0.0279279558420737	0.0278949821081913	0.0240758293838863
mprestamos_personales	0.0207627783167911	0.0239573518075032	0.00739336492890995
cprestamos_personales	0.0163885984764327	0.0104164737059721	0.00454976303317536
mcuenta_corriente	0.0161504164296604	0.0123656527859133	0.0187677725118483
cliente_edad	0.0157589935780089	0.0237376228792938	0.0295734597156398
mtransferencias_recibidas	0.015141252878351	0.0067650878964803	0.0121327014218009
mautoservicio	0.0149139584025887	0.0119573590637464	0.0127014218009479
mrentabilidad_annual	0.0138560662642993	0.0209175450649279	0.0261611374407583
Master_Fvencimiento	0.0130058168111644	0.024377154087489	0.0269194312796209
ccomisiones_otras	0.0126257312976666	0.0184440959092519	0.0164928909952607
mrentabilidad	0.0123849178964876	0.0154202581034015	0.0229383886255924
Visa_mpagominimo	0.0118443602297635	0.0103475393952401	0.0153554502369668
cliente_antiguedad	0.011021071143405	0.0157779856932761	0.0248341232227488
Visa_mpagospesos	0.0101259013103738	0.00863815444657547	0.0117535545023697
Master_fechaalta	0.0100366698821378	0.0167584953134129	0.0235071090047393
Visa_Fvencimiento	0.0100259922642908	0.0134261826439466	0.0233175355450237
Visa_fechaalta	0.00956044470562299	0.0145218493643827	0.0183886255924171
mcomisiones	0.00873578778732692	0.013479284560165	0.0208530805687204
mcomisiones_otras	0.00845298543946086	0.00928478584976392	0.0180094786729858
chomebanking_trx	0.00837116598057704	0.015467261134177	0.0164928909952607
Master_mfinanciacion_limite	0.00831679932526201	0.012277316477141	0.0214218009478673
Visa_cconsumos	0.0081580315821054	0.0128117491946106	0.021042654028436
cproductos	0.00771996718235466	0.00816720735540149	0.00985781990521327
Visa_msaldopesos	0.00733870652437054	0.0141762285172531	0.0166824644549763
mcaja_ahorro_dolares	0.00727927621430748	0.0182069545980827	0.0164928909952607
Visa_mconsumospesos	0.0070276402658851	0.00998457118525135	0.0181990521327014
ccomisiones_mantenimiento	0.00688808763106889	0.00580474100956177	0.00815165876777251
thomebanking	0.00662025037917146	0.00792976044975912	0.00663507109004739
Visa_mfinanciacion_limite	0.00645009794267079	0.00830239064670767	0.0153554502369668
numero_de_cliente	0.00636859222936294	0.00932290063277757	0.0166824644549763
ctransferencias_recibidas	0.00634683871200672	0.0178733689715874	0.0144075829383886
Visa_mlimitecompra	0.00634303834311224	0.012217380948342	0.0172511848341232
Visa_mconsumototal	0.00595873980464077	0.00836650696797987	0.0138388625592417
mcomisiones_mantenimiento	0.00588662133384542	0.0104606548643784	0.00909952606635071
Master_mlimitecompra	0.00509901412393776	0.00802775224348119	0.0123222748815166
Visa_mpagado	0.00479729450391148	0.0137700739563983	0.0106161137440758
ctransferencias_emitidas	0.00464589308394608	0.00952481405340295	0.0108056872037915
mtransferencias_emitidas	0.00448895654657152	0.00771267133763701	0.00966824644549763
ctarjeta_visa_debitos_automaticos	0.00436153693225481	0.00985661162712977	0.0104265402843602
Master_status	0.00410586649976194	0.0159603735776699	0.0037914691943128
tcallcenter	0.00398028171553053	0.00397058898971852	0.00227488151658768
mpagomiscuentas	0.00391228773745309	0.0113167485218802	0.0109952606635071
ccallcenter_trx	0.00387942777180365	0.0114625235875857	0.0037914691943128
mcuenta_debitos_automaticos	0.00387642542102778	0.0111159794550266	0.00890995260663507
ccaja_ahorro	0.00387578376186686	0.0179010285224131	0.004739336492891
Master_mpagominimo	0.00375866152009655	0.00926822523012288	0.00663507109004739
mdescubierto_preacordado	0.00336843988686431	0.0112596803795208	0.00341232227488152
Master_msaldopesos	0.00334679134705934	0.0070839854822339	0.00739336492890995
ccuenta_debitos_automaticos	0.00330896500110309	0.0105274890258586	0.00701421800947867
ctarjeta_debito_trx	0.0033075308593649	0.00807504136269959	0.0119431279620853
Master_msaldototal	0.00310759477974769	0.00459701864762833	0.00549763033175355
Visa_mconsumosdolares	0.0030261027526807	0.0071517429291437	0.00947867298578199
catm_trx	0.00298453813484048	0.00349397214576599	0.00322274881516588
Visa_status	0.00298295697217396	0.0108418937226558	0.00265402843601896
ctarjeta_master	0.00288547552660349	0.0011835023744333	0.00151658767772512
mextraccion_autoservicio	0.00277763161066666	0.00641126801465603	0.00872037914691943
mplazo_fijo_dolares	0.00255769495601705	0.0162490433186213	0.00322274881516588
