Feature	Gain	Cover	Frequency
mpasivos_margen	0.123822230337749	0.0270111903939987	0.0349377439137707
cpayroll_trx	0.0854414740369588	0.0199119460203612	0.00501765471102026
ctarjeta_visa_trx	0.0631653859487014	0.0151399000322696	0.0209998141609366
ctrx_quarter	0.0577905493199217	0.0266544036430806	0.0275041813789259
mpayroll	0.0444647515248381	0.033424061288722	0.0141237688162052
mcaja_ahorro	0.0390146637692719	0.0207791219099333	0.0263891469986991
mactivos_margen	0.0355954403731663	0.0272043419093941	0.0278758595056681
Visa_msaldototal	0.0333987879171871	0.0125887989409817	0.0167255157034009
mtarjeta_visa_consumo	0.0316382411087994	0.0158982822286536	0.0176547110202565
mcuentas_saldo	0.0308874396227383	0.0325712052418456	0.035495261103884
mprestamos_personales	0.0192004371006492	0.0207366038783368	0.00761940159821595
mcuenta_corriente	0.0182581427804353	0.0129309203302115	0.0165396766400297
mrentabilidad_annual	0.0167261600953362	0.0288554300098077	0.0286192157591526
cliente_edad	0.0162806096566569	0.0246338725590179	0.030849284519606
mautoservicio	0.0154222335909586	0.0154348196880024	0.0167255157034009
cprestamos_personales	0.0150009957694897	0.0102565649360429	0.00408845939416465
Master_Fvencimiento	0.014279928977896	0.0250777236975858	0.0301059282661215
mrentabilidad	0.0138967043090211	0.0141928708643944	0.0232298829213901
Visa_mpagominimo	0.0134510444082394	0.0107063666794844	0.0174688719568853
Master_fechaalta	0.0133705055320796	0.0242745008141547	0.0258316298085858
Visa_Fvencimiento	0.0127470679171301	0.0166275512506562	0.0258316298085858
cliente_antiguedad	0.0117825616659716	0.0157045740437699	0.0241590782382457
Visa_msaldopesos	0.0102872123918559	0.0204344539177576	0.0252741126184724
chomebanking_trx	0.0101709897215634	0.0162549666035738	0.0183980672737409
mtransferencias_recibidas	0.00997132255732629	0.00606348720814787	0.0109645047388961
Visa_fechaalta	0.00992514702334264	0.0129950780883481	0.0196989407173388
mcomisiones_otras	0.00973924892251165	0.0140373489266993	0.0195131016539677
mcomisiones	0.00967072612198865	0.0113200212074439	0.0180263891469987
catm_trx	0.00933511003192995	0.00246322409415526	0.00241590782382457
numero_de_cliente	0.00920365979495881	0.0118255602832009	0.0183980672737409
mcaja_ahorro_dolares	0.00889764374755834	0.0207117840973642	0.0170971938301431
ccomisiones_otras	0.00817529560789337	0.0148690515330252	0.0135662516260918
Visa_mconsumospesos	0.00781954393809361	0.0104516040088982	0.0178405500836276
Master_mfinanciacion_limite	0.00747298172274944	0.0100106641877684	0.0167255157034009
Visa_mconsumototal	0.00699317283281557	0.00905451075908712	0.0161679985132875
Visa_mfinanciacion_limite	0.00680188220341758	0.0117070152762201	0.0141237688162052
ccomisiones_mantenimiento	0.00645738666061427	0.00473611841135512	0.00501765471102026
cproductos	0.00621905066505762	0.00801795378111447	0.00817691878832931
Master_mlimitecompra	0.00591031985675278	0.00933047165972281	0.0117078609923806
Visa_mlimitecompra	0.00587500319278691	0.0114074887005852	0.0131945734993496
thomebanking	0.0057896261610172	0.00524522145153642	0.00483181564764914
mtransferencias_emitidas	0.00564959824282894	0.0114541465615937	0.010778665675525
Visa_cconsumos	0.00553794981414318	0.00914362906519331	0.013937929752834
Visa_mpagospesos	0.00538481860559491	0.00985034977367514	0.0137520906894629
ctransferencias_recibidas	0.00513203813283764	0.0150586390839964	0.0111503438022672
tcallcenter	0.0049599109511104	0.00385747001152683	0.00223006876045345
mcomisiones_mantenimiento	0.0049091653801486	0.00511643884477312	0.00687604534473146
mpagomiscuentas	0.00431789543051575	0.00909895473914266	0.0117078609923806
mtarjeta_visa_debitos_automaticos	0.00405101142656617	0.00657612222025411	0.00873443597844267
ccaja_ahorro	0.00390826068194979	0.0177762035477468	0.00483181564764914
Visa_mpagado	0.00385383866977979	0.0148305005713444	0.00836275785170043
mcuenta_debitos_automaticos	0.00350766899252755	0.00910244192156856	0.00947779223192715
ctarjeta_debito_trx	0.00345951316235844	0.00629562478321483	0.00947779223192715
Master_mpagominimo	0.00339396147208818	0.00786392909238758	0.00799107972495819
Master_mpagospesos	0.00323255637546592	0.00948238484349458	0.0072477234714737
ctransferencias_emitidas	0.00311310793191013	0.0118402832313881	0.0072477234714737
ccuenta_debitos_automaticos	0.00297963669914458	0.0106786227840739	0.00687604534473146
ctarjeta_master	0.0028509937788498	0.00169506498997902	0.00167255157034009
Master_msaldopesos	0.00278680956028717	0.00639049534069878	0.0072477234714737
ctarjeta_visa_debitos_automaticos	0.00275174368149773	0.00780930509904836	0.0072477234714737
Master_status	0.00267520202164085	0.0124986824688967	0.00315926407730905
ccallcenter_trx	0.00253715419100378	0.00828214144200035	0.00223006876045345
mdescubierto_preacordado	0.0025220643887182	0.010089033014103	0.00260174688719569
mplazo_fijo_dolares	0.00242260082752517	0.0139119767203635	0.00297342501393793
cpagomiscuentas	0.00232350529709261	0.00560796520582794	0.00557517190113362
Master_msaldototal	0.00231952675686166	0.00275788780989351	0.00408845939416465
ccajas_consultas	0.00230865099708876	0.011166841120699	0.00223006876045345
mextraccion_autoservicio	0.00216248479134834	0.00584175359385982	0.00854859691507155
Visa_status	0.00207289806127173	0.0113112808566296	0.00223006876045345
matm	0.00195070140105317	0.00525145359040399	0.0053893328377625
ctarjeta_debito	0.00185873483144156	0.00280903101930669	0.00427429845753577
Master_mconsumospesos	0.00181861661001022	0.00490700314722373	0.00520349377439138
cmobile_app_trx	0.00178274430652601	0.00165503597482966	0.00297342501393793
Visa_mconsumosdolares	0.00168000856597864	0.00410063220185952	0.00576101096450474
ccaja_seguridad	0.00147574330487822	0.0097987010827727	0.00241590782382457
mtarjeta_master_consumo	0.0013324902600344	0.00150598931899697	0.00167255157034009
