Feature	Gain	Cover	Frequency
ctrx_quarter	0.120061762491701	0.0282320033025006	0.0320160516444212
cpayroll_trx	0.0506935270492635	0.0165140273223296	0.00348948791764809
mpasivos_margen	0.0422695075117575	0.021888663420844	0.0348076419785397
mpayroll	0.0413344630106085	0.0267844005024506	0.0101195149611794
mcuentas_saldo	0.0364591371291502	0.0302016535369035	0.0262583965803018
mcaja_ahorro	0.0362125056178467	0.0236140967763732	0.0342842187908924
active_quarter	0.0311597403134747	0.0010744056612296	0.000697897583529617
mtarjeta_visa_consumo	0.0282559907878792	0.0112040491345473	0.0169240164005932
Visa_mpagospesos	0.0274928844658956	0.0127221438220021	0.0221582482770653
mactivos_margen	0.0252361529888585	0.0272300885165743	0.0232050946523598
cliente_edad	0.0236501030835532	0.0245867793603685	0.034545930384716
Visa_msaldototal	0.022813348063253	0.0150167614176544	0.0220710110791241
Master_fechaalta	0.0194300102677361	0.0293552571332409	0.0309692052691268
mrentabilidad_annual	0.0188088234321227	0.0199457814080847	0.0232050946523598
cliente_antiguedad	0.0179792534113908	0.0174010362571104	0.024164703829713
Master_Fvencimiento	0.0172668633090042	0.0211520291896336	0.0267818197679491
ctarjeta_visa_trx	0.0148649439768525	0.020065605632333	0.0186687603594173
Visa_msaldopesos	0.0146790785072662	0.0162637607486646	0.0218965366832417
cprestamos_personales	0.0145406760039888	0.00630099201811802	0.00252987874029486
Master_mfinanciacion_limite	0.0144654306655658	0.0156538057841362	0.0235540434441246
mcomisiones_otras	0.0138683093784	0.0131548216367095	0.0201517927244177
Visa_mconsumospesos	0.0133750762308935	0.00918182120405081	0.015528221233534
mprestamos_personales	0.0133418163216163	0.015411587893161	0.00575765506411934
mcuenta_corriente	0.0133329848499063	0.0147295159647347	0.015092035243828
mrentabilidad	0.013198715572259	0.0122425640945868	0.0173602023902992
chomebanking_trx	0.012740687034781	0.0133010209962519	0.0166623048067696
numero_de_cliente	0.012502675935886	0.0124026413197558	0.0194538951408881
Master_mlimitecompra	0.0122614245580385	0.0102880620658418	0.0147430864520632
Visa_fechaalta	0.0121107624963045	0.0125966629893119	0.0165750676088284
mtransferencias_recibidas	0.011992521993594	0.00964681359291637	0.0201517927244177
Visa_mpagominimo	0.0116111822405841	0.0115689579038795	0.0187559975573585
mcomisiones	0.0114620111131203	0.0118577709084607	0.017272965192358
Visa_Fvencimiento	0.011157016333659	0.00994194474150294	0.017272965192358
Visa_mfinanciacion_limite	0.0107467095047225	0.010580432022511	0.0166623048067696
ccomisiones_otras	0.0101297362156648	0.0123363775074745	0.0129983424932391
Visa_mconsumototal	0.00955167063967277	0.00741287031340703	0.0140451888685335
Visa_mlimitecompra	0.00925146542714151	0.0119326682392198	0.0149175608479456
mcaja_ahorro_dolares	0.00865342289045368	0.0187255982360777	0.0156154584314752
mcomisiones_mantenimiento	0.00714330494348613	0.0151781185703267	0.0100322777632382
ccomisiones_mantenimiento	0.00646448939742407	0.0119693307319007	0.00488528308470732
mtransferencias_emitidas	0.00639414243746846	0.0104785555457257	0.0116025473261799
mautoservicio	0.00617933728609207	0.0124565708493923	0.0174474395882404
mtarjeta_visa_debitos_automaticos	0.00610208326689484	0.00658669868179212	0.0103812265550031
Visa_cconsumos	0.00601285404237696	0.00958977772237284	0.0126493937014743
ctransferencias_recibidas	0.00571560149682565	0.0138839153212427	0.00942161737764983
thomebanking	0.00536221469832335	0.00381467771485387	0.00305330192794207
cproductos	0.004978772729385	0.00623937812972535	0.00715345023117857
mpagomiscuentas	0.00477276454085956	0.0112024192643183	0.0108174125447091
ctransferencias_emitidas	0.00472952059892249	0.0111996868348167	0.00645555264764896
Master_mpagominimo	0.00458515315732224	0.00607769020927126	0.00540870627235453
mcuenta_debitos_automaticos	0.00452965461743106	0.00797638835761644	0.008200296606473
ctarjeta_debito_trx	0.00447396222708954	0.0108780559138008	0.0162261188170636
Visa_mpagado	0.00384853997425133	0.0102025082600265	0.00636831544970776
tcallcenter	0.00377947016535258	0.00294739500358008	0.00148303236500044
Master_msaldopesos	0.00375312057325688	0.00559145198259692	0.00505975748058972
ctarjeta_visa_debitos_automaticos	0.003748808700615	0.00506615439525786	0.00619384105382535
Master_mpagospesos	0.00370957915337068	0.010467985357917	0.00697897583529617
Master_msaldototal	0.0036612091613234	0.00602944605049247	0.00523423187647213
ccuenta_debitos_automaticos	0.00348475720712691	0.00690408235274069	0.00732792462706098
Master_status	0.0032777831991895	0.0120381975428124	0.00218092994853005
ccaja_ahorro	0.00312164197165346	0.00781376086491269	0.00331501352176568
Master_mconsumospesos	0.00308323018379062	0.00581641721782446	0.00601936665794295
ctarjeta_debito	0.0028829051837867	0.0029365036354615	0.00383843670941289
Visa_mconsumosdolares	0.00286808981741306	0.00449260785540405	0.00549594347029573
ccallcenter_trx	0.00280486388666316	0.00630192679663172	0.00200645555264765
mextraccion_autoservicio	0.00267030615840706	0.00891856839964936	0.00977056616941464
cpagomiscuentas	0.00261874489894089	0.00493082722889008	0.00444909709500131
Visa_fultimo_cierre	0.00244262019715073	0.00231774257796047	0.0041001483032365
matm	0.00241355947530558	0.00336942593070324	0.00444909709500131
ccajas_otras	0.00235324036516025	0.010859039163217	0.00130855796911803
mdescubierto_preacordado	0.00234852519329031	0.00240902969199312	0.000959609177353223
mplazo_fijo_dolares	0.00224270625132049	0.0132437742013258	0.00244264154235366
Master_fultimo_cierre	0.00223056696184955	0.00130353665301307	0.00279159033411847
cextraccion_autoservicio	0.00205286896483483	0.00708321947211715	0.00715345023117857
Visa_mpagosdolares	0.00190423831974009	0.00384461938970804	0.00322777632382448
ccajas_consultas	0.00174350175559948	0.0056393414049141	0.00130855796911803
Visa_status	0.00165802370101053	0.00379559864570248	0.000697897583529617
cmobile_app_trx	0.00152439858564502	0.00103964628172791	0.00183198115676524
Master_cconsumos	0.00149734647911091	0.00262607567540204	0.00296606473000087
cseguro_accidentes_personales	0.00134562193727564	0.00502883995448539	0.00183198115676524
Visa_msaldodolares	0.00117561636669359	0.0025376216593263	0.00191921835470645
ccaja_seguridad	0.00116971444045525	0.00390348646739122	0.00122132077117683
Visa_delinquency	0.00107905557240712	0.00210363515469973	0.000872371979412021
mtarjeta_master_consumo	0.000985087334201874	0.00216982226720558	0.00174474395882404
Master_mconsumototal	0.000926573357340946	0.0019468943697643	0.00226816714647126
Visa_Finiciomora	0.000828492609075046	0.0028300779032429	0.000697897583529617
tpaquete9	0.000787483124647467	0.00568541400129953	0.00113408357323563
catm_trx	0.000781471722987364	0.00261296960126639	0.00252987874029486
cinversion1	0.000763889111408834	0.00888002196873319	0.00104684637529443
mcheques_emitidos	0.000732224962867132	0.00298664131994753	0.000348948791764809
ccajas_trx	0.000660659717298825	0.00117932616035435	0.000436185989706011
Master_mpagado	0.00058964213646559	0.00714823691304688	0.00130855796911803
tmobile_app	0.00055783979325473	0.00607436815024566	0.000872371979412021
tpaquete7	0.000546204282638452	0.00413088212675438	0.000610660385588415
ctarjeta_master_trx	0.00051054848038233	0.00221983052082048	0.000959609177353223
mttarjeta_master_debitos_automaticos	0.000473880395085966	0.00165796152178395	0.00104684637529443
Master_cadelantosefectivo	0.000447038868626178	0.000109464960822114	0.000348948791764809
mtarjeta_visa_descuentos	0.000429370073075897	0.00542529630022095	0.00130855796911803
internet	0.000418001361040022	0.00256156157674892	0.000697897583529617
matm_other	0.000390564342892464	0.000765602777663194	0.00104684637529443
cplazo_fijo	0.000360564947398386	0.00158667387420849	0.000523423187647213
Visa_madelantopesos	0.000356543943292637	0.000860024995018709	0.00130855796911803
ctarjeta_visa	0.000340604727105369	0.000459513148654495	0.000610660385588415
ctarjeta_master	0.000328448647493096	0.000189026596677802	0.000436185989706011
minversion2	0.000315091944619943	0.0043030683289777	0.000610660385588415
Master_mpagosdolares	0.000282470248179374	0.000377214289561259	0.000610660385588415
Visa_madelantodolares	0.000229760360752672	0.00031153531306799	0.000610660385588415
ccheques_depositados	0.000209623157990262	0.00406311787511517	0.000523423187647213
Master_mconsumosdolares	0.000180531001773068	0.000221484982915005	0.000697897583529617
ccajas_extracciones	0.00016071613963793	0.00161408925020768	0.000261711593823606
ccajeros_propios_descuentos	0.000156839514257581	0.00361015296979254	0.000436185989706011
tpaquete1	0.000136645740288632	0.00283444020297349	0.000348948791764809
ccheques_emitidos	0.000123238535056264	0.000756542616684267	8.72371979412021e-05
ctarjeta_master_debitos_automaticos	0.00012304720259705	0.00152385196435196	0.000436185989706011
Master_madelantopesos	0.000100324775246341	0.000281406682511083	0.000610660385588415
mforex_sell	9.58464022690279e-05	0.000481732114864721	0.000348948791764809
Master_msaldodolares	9.03691961094592e-05	0.000848869971421903	0.000261711593823606
cseguro_vivienda	8.90231211595868e-05	0.000208728851504992	0.000174474395882404
cseguro_auto	8.89502976858388e-05	0.00138788243736451	0.000174474395882404
ctarjeta_visa_descuentos	7.59021114463004e-05	0.000419384784868994	0.000261711593823606
catm_trx_other	7.36639666933435e-05	0.000586676582669307	0.000872371979412021
minversion1_pesos	7.22530654112307e-05	0.000685667230402027	8.72371979412021e-05
cforex	6.07787754195167e-05	0.000254858972722036	0.000261711593823606
Master_delinquency	5.49961084271352e-05	1.77751729681804e-05	8.72371979412021e-05
Master_madelantodolares	4.33121543620754e-05	7.55732475305728e-05	0.000261711593823606
mcaja_ahorro_adicional	3.06659911052404e-05	0.000229984276785713	8.72371979412021e-05
cseguro_vida	2.99538537422539e-05	0.000197300584958028	0.000174474395882404
mcheques_depositados	2.69624302377571e-05	0.000734544162328555	8.72371979412021e-05
ccajas_depositos	2.58292385327466e-05	0.000580085195713739	8.72371979412021e-05
mcajeros_propios_descuentos	4.52470556281473e-06	0.000241724136170576	0.000174474395882404
Visa_cadelantosefectivo	2.6449569817784e-06	2.04788400539554e-05	8.72371979412021e-05
cforex_sell	1.1786235759271e-13	3.90162170409979e-05	8.72371979412021e-05
