Feature	Gain	Cover	Frequency
mpasivos_margen	0.0873278528933767	0.0302041042826125	0.0294303797468354
mcaja_ahorro	0.0807215872394979	0.0196903331322371	0.0275316455696203
mpayroll	0.075409577607827	0.0374226159549269	0.0167721518987342
ctrx_quarter	0.0734356332869383	0.018591021350295	0.0180379746835443
mtarjeta_visa_consumo	0.068543271193971	0.0179117809880599	0.0208860759493671
Visa_msaldopesos	0.05800474382732	0.017219320564841	0.0218354430379747
cpayroll_trx	0.052933766468347	0.0231838775972711	0.00664556962025316
mcuentas_saldo	0.0358776483897465	0.0314983482529287	0.0322784810126582
mprestamos_personales	0.028188501060787	0.0265886087369488	0.0117088607594937
ccomisiones_otras	0.0258801591641122	0.0187871959058459	0.0158227848101266
mactivos_margen	0.0231803230882133	0.029019339937805	0.0265822784810127
Visa_msaldototal	0.0224865739658045	0.0167687952215182	0.0243670886075949
ctarjeta_debito_trx	0.0216408825155738	0.00325679387893337	0.00379746835443038
ctarjeta_visa_trx	0.0199887749343853	0.0142309417072321	0.0167721518987342
mrentabilidad_annual	0.0147574958141004	0.0207986441123188	0.0262658227848101
Visa_fechaalta	0.0133201733691644	0.0168739823091533	0.0281645569620253
Master_fechaalta	0.0127093669272209	0.0317949235969273	0.0329113924050633
Visa_mconsumototal	0.0120922950673508	0.00748476847886387	0.0139240506329114
mcuenta_corriente	0.0118952011697175	0.0112658094508352	0.0161392405063291
mcomisiones_otras	0.0105365242922294	0.0166812720466915	0.0259493670886076
cliente_edad	0.0104802051998589	0.0220659621632457	0.0234177215189873
mtransferencias_recibidas	0.0102811824077873	0.0103111458421757	0.0193037974683544
mrentabilidad	0.00956267732195707	0.0148248011816313	0.0218354430379747
Visa_Fvencimiento	0.00907035692341325	0.0127345024788928	0.0183544303797468
cprestamos_personales	0.00901195494501749	0.00749208729575792	0.00379746835443038
mcomisiones	0.00881051013102604	0.0105039835269121	0.0183544303797468
Master_Fvencimiento	0.00841164867552266	0.0266556567450348	0.0243670886075949
cproductos	0.00817918100498456	0.0161353790947656	0.0117088607594937
chomebanking_trx	0.00807949476752367	0.0151875246139019	0.0170886075949367
thomebanking	0.00773717610171146	0.00603196341566333	0.00727848101265823
mcomisiones_mantenimiento	0.00772079252147016	0.0109451831525167	0.0110759493670886
numero_de_cliente	0.00754254735072147	0.0113913841023972	0.0218354430379747
mcaja_ahorro_dolares	0.00746341348840946	0.0242446521050562	0.0177215189873418
cliente_antiguedad	0.00717237757672405	0.0150876653701211	0.0205696202531646
mautoservicio	0.00681003029994904	0.00935030225320091	0.0117088607594937
Master_status	0.00567853022989514	0.00363610609857102	0.00316455696202532
Visa_mfinanciacion_limite	0.0056455576639895	0.0141332088226578	0.0177215189873418
Master_mfinanciacion_limite	0.00554713609214153	0.0115405318747497	0.0189873417721519
Visa_mconsumospesos	0.00519748093662295	0.0108504128358255	0.0164556962025316
Visa_mpagominimo	0.00511444347954819	0.00856814451259598	0.0142405063291139
Visa_mlimitecompra	0.0050239720522339	0.0149413049600243	0.0161392405063291
mdescubierto_preacordado	0.00496709018458779	0.00756464631721793	0.00348101265822785
mtarjeta_visa_debitos_automaticos	0.00484269156505539	0.0066121011038727	0.0132911392405063
Visa_mpagospesos	0.00442612309095259	0.00899117850018615	0.0151898734177215
tcallcenter	0.00425955492887964	0.00962509635214477	0.00348101265822785
mtransferencias_emitidas	0.00416087796746179	0.00789283831308741	0.0120253164556962
mcuenta_debitos_automaticos	0.0041170119794059	0.00982020374614638	0.0104430379746835
ccaja_ahorro	0.00402895080878824	0.0221044914735106	0.00632911392405063
ccallcenter_trx	0.00338267088096523	0.0114081321676075	0.00379746835443038
Master_mpagominimo	0.00335815424304944	0.0109657459220711	0.00759493670886076
Visa_cconsumos	0.0032940011705868	0.00664682367368564	0.0120253164556962
ctransferencias_emitidas	0.003245472491556	0.0125980411867496	0.00949367088607595
Master_mlimitecompra	0.00307498684995247	0.00700500768742564	0.0113924050632911
ctransferencias_recibidas	0.00295378360693113	0.0155038026271017	0.00854430379746836
Visa_mpagado	0.00267418131082138	0.0152075936221424	0.00949367088607595
ccuenta_debitos_automaticos	0.00259534963647803	0.0125659307735648	0.00632911392405063
mextraccion_autoservicio	0.00255089578187756	0.00844043553793539	0.00949367088607595
Master_msaldopesos	0.00241421715680648	0.00510217104221617	0.00506329113924051
Visa_mconsumosdolares	0.00225601950641447	0.00397123464451093	0.00537974683544304
mpagomiscuentas	0.002159056907387	0.00839820301781659	0.00886075949367089
